#TAXONOMY,Kingdom,Phylum,Class,Order,Family,Genus
ASV5548,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,unclassified
ASV1853,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,unclassified
ASV139,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,unclassified
ASV242,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Belliella
ASV3101,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Belliella
ASV6862,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia
ASV7063,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia
ASV8320,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus_Cardinium
ASV8019,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV1002,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV1666,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV5064,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV6121,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV9207,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV7034,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV4176,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV756,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV6682,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV3014,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV1275,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified,unclassified
ASV7604,Bacteria,Bacteroidetes,Bacteroidia,unclassified,unclassified,unclassified
ASV1965,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,unclassified
ASV2951,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,p-251-o5,unclassified
ASV1160,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,p-251-o5,unclassified
ASV2454,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,p-251-o5,unclassified
ASV3894,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,p-251-o5,unclassified
ASV1443,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,p-251-o5,unclassified
ASV4365,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,p-251-o5,unclassified
ASV3985,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,p-251-o5,unclassified
ASV807,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified,unclassified
